Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2005-01-03,10729.4296875,10867.3896484375,10710.0703125,10783.75,270620000
2005-01-04,10630.7802734375,10769.5595703125,10605.150390625,10727.8095703125,293280000
2005-01-05,10597.830078125,10684.4296875,10597.75,10629.5302734375,263550000
2005-01-06,10622.8798828125,10667.580078125,10589.330078125,10593.1904296875,232850000
2005-01-07,10603.9599609375,10653.25,10571.740234375,10624.7998046875,283770000
2005-01-10,10621.0302734375,10663.740234375,10582.3798828125,10603.4404296875,279500000
2005-01-11,10556.2197265625,10619.76953125,10531.5400390625,10619.76953125,292050000
2005-01-12,10617.7802734375,10622.8798828125,10499.4697265625,10561.3203125,293140000
2005-01-13,10505.830078125,10618.150390625,10485.73046875,10617.41015625,271180000
2005-01-14,10558.0,10567.009765625,10503.759765625,10506.7099609375,223070000
2005-01-18,10628.7900390625,10628.9404296875,10500.580078125,10554.23046875,267680000
2005-01-19,10539.9697265625,10626.2802734375,10536.490234375,10626.0498046875,242250000
2005-01-20,10471.4697265625,10546.76953125,10457.9404296875,10538.900390625,242810000
2005-01-21,10392.990234375,10512.1796875,10390.849609375,10471.98046875,275680000
2005-01-24,10368.6103515625,10442.8701171875,10368.6103515625,10393.580078125,259170000
2005-01-25,10461.5595703125,10509.830078125,10369.419921875,10369.419921875,260720000
2005-01-26,10498.58984375,10531.990234375,10463.1904296875,10463.1904296875,247140000
2005-01-27,10467.400390625,10498.1396484375,10429.9404296875,10498.1396484375,269690000
2005-01-28,10427.2001953125,10488.3896484375,10386.5595703125,10470.580078125,358720000
2005-01-31,10489.9404296875,10510.1904296875,10428.759765625,10428.759765625,298060000
2005-02-01,10551.9404296875,10570.259765625,10489.6396484375,10489.7197265625,283800000
2005-02-02,10596.7900390625,10616.3701171875,10544.48046875,10551.0498046875,279860000
2005-02-03,10593.099609375,10601.150390625,10550.08984375,10592.2099609375,229000000
2005-02-04,10716.1298828125,10723.8896484375,10586.8896484375,10593.169921875,246270000
2005-02-07,10715.759765625,10733.5,10699.73046875,10715.759765625,218040000
2005-02-08,10724.6298828125,10744.509765625,10695.9599609375,10712.509765625,244710000
2005-02-09,10664.1103515625,10741.5498046875,10660.419921875,10717.759765625,310030000
2005-02-10,10749.6103515625,10763.9404296875,10664.330078125,10665.0,254150000
2005-02-11,10796.009765625,10829.1904296875,10703.4296875,10742.919921875,263370000
2005-02-14,10791.1298828125,10802.2900390625,10773.1796875,10795.7197265625,215370000
2005-02-15,10837.3203125,10852.3896484375,10779.3095703125,10791.0595703125,241500000
2005-02-16,10834.8798828125,10853.4296875,10794.16015625,10832.0302734375,256940000
2005-02-17,10754.259765625,10841.16015625,10752.33984375,10835.0302734375,257860000
2005-02-18,10785.2197265625,10792.01953125,10730.3203125,10755.150390625,335660000
2005-02-22,10611.2001953125,10783.4501953125,10610.5400390625,10783.3798828125,340910000
2005-02-23,10673.7900390625,10700.6904296875,10608.98046875,10609.2802734375,268490000
2005-02-24,10748.7900390625,10755.740234375,10647.33984375,10672.240234375,257340000
2005-02-25,10841.599609375,10845.599609375,10735.76953125,10748.419921875,247140000
2005-02-28,10766.23046875,10842.0498046875,10730.4697265625,10842.0498046875,288160000
2005-03-01,10830.0,10849.1396484375,10769.0400390625,10769.0400390625,247210000
2005-03-02,10811.9697265625,10869.830078125,10774.2900390625,10825.6796875,235950000
2005-03-03,10833.0302734375,10869.169921875,10767.1904296875,10812.26953125,233480000
2005-03-04,10940.5498046875,10962.419921875,10834.2900390625,10834.509765625,240210000
2005-03-07,10936.8603515625,10984.4599609375,10931.4599609375,10940.5498046875,229120000
2005-03-08,10912.6201171875,10952.4501953125,10900.1298828125,10935.599609375,205970000
2005-03-09,10805.6201171875,10923.1796875,10802.0595703125,10912.3203125,267970000
2005-03-10,10851.509765625,10875.51953125,10780.349609375,10806.2802734375,224040000
2005-03-11,10774.3603515625,10872.349609375,10758.5498046875,10845.2998046875,243050000
2005-03-14,10804.509765625,10805.4697265625,10754.41015625,10773.919921875,237050000
2005-03-15,10745.099609375,10838.650390625,10745.099609375,10804.2900390625,237710000
2005-03-16,10633.0703125,10741.6298828125,10612.3798828125,10741.6298828125,278620000
2005-03-17,10626.349609375,10658.6396484375,10598.33984375,10633.2998046875,228160000
2005-03-18,10629.669921875,10653.6904296875,10557.0400390625,10627.830078125,531670000
2005-03-21,10565.3896484375,10630.490234375,10534.0595703125,10629.900390625,254560000
2005-03-22,10470.509765625,10609.9501953125,10470.2802734375,10565.3896484375,308690000
2005-03-23,10456.01953125,10497.419921875,10430.5302734375,10470.580078125,327490000
2005-03-24,10442.8701171875,10518.6298828125,10442.8701171875,10457.0595703125,238110000
2005-03-28,10485.650390625,10533.5498046875,10439.990234375,10444.1298828125,213820000
2005-03-29,10405.7001953125,10520.83984375,10396.240234375,10485.650390625,301970000
2005-03-30,10540.9296875,10544.1796875,10404.8095703125,10405.76953125,276060000
2005-03-31,10503.759765625,10542.0400390625,10490.3798828125,10541.58984375,259250000
2005-04-01,10404.2998046875,10568.9296875,10381.01953125,10504.5703125,318810000
2005-04-04,10421.1396484375,10444.2802734375,10356.7099609375,10401.7099609375,293800000
2005-04-05,10458.4599609375,10476.490234375,10419.4404296875,10421.1396484375,271690000
2005-04-06,10486.01953125,10526.0,10453.3798828125,10453.4501953125,237570000
2005-04-07,10546.3203125,10557.1103515625,10476.7099609375,10485.8798828125,283340000
